sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name_original,type,type_number,catchment_name,alt_catchment_name,stream_group,minor_stream_group,qc_flag
2018_043_NorthRiverMouth_1,27/06/2018,76.5406,-68.7503,53,-0.0225,-0.17,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_054_NorthRiverMouth_1,29/06/2018,76.5406,-68.7503,53,,,,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,1
2018_089_NorthRiverMouth_1,02/07/2018,76.5406,-68.7503,53,-0.0214,-0.164,0.007,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_134_NorthRiverMouth_1,08/07/2018,76.5406,-68.7503,53,-0.0218,-0.164,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_140_NorthRiverMouth_1,11/07/2018,76.5406,-68.7503,53,-0.0218,-0.166,0.008,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_231_NorthRiverMouth_1,19/07/2018,76.5406,-68.7503,53,-0.0216,-0.163,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_242_NorthRiverMouth_1,30/07/2018,76.5406,-68.7503,53,-0.0215,-0.163,0.009,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_252_NorthRiverMouth_1,03/08/2018,76.5406,-68.7503,53,-0.0211,-0.16,0.009,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_198_NorthRiverMouth_1,07/08/2018,76.5406,-68.7503,53,-0.0202,-0.152,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_217_NorthRiverMouth_1,15/08/2018,76.5406,-68.7503,53,-0.0206,-0.154,0.011,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_280_NorthRiverMouth_1,20/08/2018,76.5406,-68.7503,53,-0.021,-0.157,0.011,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_001_NorthRiverMouth_17072019,17/07/2019,76.5406,-68.7503,53,-0.0208,-0.156,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_023_NorthRiverMouth_19072019,19/07/2019,76.5406,-68.7503,53,-0.0212,-0.159,0.011,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_056_NorthRiverMouth_22072019,22/07/2019,76.5406,-68.7503,53,-0.0201,-0.152,0.009,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_142_NorthRiverMouth_26072019,26/07/2019,76.5406,-68.7503,53,-0.0199,-0.153,0.006,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_197_NorthRiverMouth_30072019,30/07/2019,76.5406,-68.7503,53,-0.0206,-0.155,0.01,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_200_NorthRiverMouthLateAfternoonMaxFlow_30072019,30/07/2019,76.5406,-68.7503,53,-0.0198,-0.152,0.006,North River Mouth Late Afternoon Max Flow,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2019_225_NorthRiverMouth_01082019,01/08/2019,76.5406,-68.7503,53,-0.0207,-0.155,0.011,North River Mouth,stream,3,Pituffik,North River,Pituffik,Pituffik Mouth,0
2018_135_NorthRiverSouthForkShelter2_1,08/07/2018,76.5308,-68.5594,114,-0.0212,-0.159,0.011,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_141_NorthRiverSouthForkShelter2_1,11/07/2018,76.5308,-68.5594,114,-0.0214,-0.162,0.009,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_232_NorthRiverSouthForkShelter2_1,19/07/2018,76.5308,-68.5594,114,-0.0208,-0.158,0.008,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_243_NorthRiverSouthForkShelter2_1,30/07/2018,76.5308,-68.5594,114,-0.0199,-0.154,0.005,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_253_NorthRiverSouthForkShelter2_1,03/08/2018,76.5308,-68.5594,114,-0.019,-0.149,0.003,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_208_NorthRiverSouthForkShelter2_1,10/08/2018,76.5308,-68.5594,114,-0.0203,-0.153,0.009,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_218_NorthRiverSouthForkShelter2_1,15/08/2018,76.5308,-68.5594,114,-0.0205,-0.153,0.011,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_002_NorthRiverShelter2SouthFork_17072019,17/07/2019,76.5308,-68.5594,114,-0.0207,-0.155,0.011,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_024_NorthRiverShelterSouthFork_19072019,19/07/2019,76.5308,-68.5594,114,-0.0211,-0.158,0.011,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_057_NorthRiverShelter2SouthFork_22072019,22/07/2019,76.5308,-68.5594,114,-0.02,-0.151,0.009,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_088_NorthRiverShelter2SouthFork_23072019,23/07/2019,76.5308,-68.5594,114,-0.0202,-0.153,0.009,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_143_NorthRiverShelter2SouthFork_26072019,26/07/2019,76.5308,-68.5594,114,-0.0208,-0.156,0.01,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_198_NorthRiverShelter2SouthFork_30072019,30/07/2019,76.5308,-68.5594,114,-0.0207,-0.155,0.011,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2019_226_NorthRiverShelter2SouthFork_01082019,01/08/2019,76.5308,-68.5594,114,-0.0205,-0.155,0.009,North River Shelter 2 South Fork,stream,3,Pituffik,North River,Pituffik,Pituffik Snoutwash,0
2018_126_FoxCanyonBridgeJointFlow_07.07.18,07/07/2018,76.4664,-68.5797,198,-0.0229,-0.17,0.013,Fox Canyon Bridge Joint Flow,stream,3,Sioraq,South River,Sioraq,Other Sioraq,0
2019_007_FoxRiverBridgeJoint_17072019,17/07/2019,76.4664,-68.5797,198,-0.02,-0.15,0.01,Fox Canyon Bridge Joint Flow,stream,3,Sioraq,South River,Sioraq,Other Sioraq,0
2019_194_FoxCanyonBridgeJointFlow_29072019,29/07/2019,76.4664,-68.5797,198,-0.0195,-0.148,0.008,Fox Canyon Bridge Joint Flow,stream,3,Sioraq,South River,Sioraq,Other Sioraq,0
2018_026_FertilizerPlotLowerDrainage_1,22/06/2018,76.4861,-68.4375,237,-0.021,-0.16,0.008,Blackmoss Wash Joint Flow,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2018_166_BlackMossWash_1,16/07/2018,76.4864,-68.42,241,-0.021,-0.159,0.009,Blackmoss Wash East Fork,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2018_249_FertilizerRidgeFlow_1,01/08/2018,76.4861,-68.4375,237,-0.0209,-0.16,0.007,Blackmoss Wash Joint Flow,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2018_196_OldMineRiver_1,03/08/2018,76.44,-68.2811,452,-0.0205,-0.155,0.009,Old Mine River,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2019_008_FertilizerRidgeDrainage_17072019,17/07/2019,76.4861,-68.4375,237,-0.0198,-0.149,0.009,Blackmoss Wash Joint Flow,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2019_171_OldMineRiverDownstream_27072019,27/07/2019,76.44,-68.2811,452,-0.0199,-0.149,0.01,Old Mine River Downstream,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
2019_149_FertilizerRidgeDrainageEastFork_27072019,27/07/2019,76.4861,-68.4375,237,-0.02,-0.15,0.01,Blackmoss Wash East Fork,stream,3,Sioraq,South River,Sioraq,Sioraq Blackmoss,0
