sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name_original,catchment_name,alt_catchment_name,sourcetype,sourcetype_detailed,qc_flag
2018_091_PrecipitationRainEvent1_4,03/07/2018,76.5383,-68.7632,61,-0.0173,-0.135,0.003,Rain Event 2018-07-03 Pt 1,Pituffik,North River,prcp_act,prcp,0
2018_092_PrecipitationRainEvent2_4,03/07/2018,76.5383,-68.7632,61,-0.021,-0.161,0.007,Rain Event 2018-07-03 Pt 2,Pituffik,North River,prcp_act,prcp,0
2018_138_PrecipitationEvent_4,09/07/2018,76.5383,-68.7632,61,-0.0228,-0.182,0,Rain Event 2018-07-09,Pituffik,North River,prcp_act,prcp,0
2018_139_PrecipitationEvent_10.07.18,10/07/2018,76.5383,-68.7632,61,-0.0175,-0.14,0,Rain Event 2018-07-10,Pituffik,North River,prcp_act,prcp,0
2018_151_PrecipitationEvent_4,12/07/2018,76.5383,-68.7632,61,-0.018,-0.147,-0.003,Rain Event 2018-07-12,Pituffik,North River,prcp_act,prcp,0
2018_162_PrecipitationEvent_15.07.18,15/07/2018,76.5383,-68.7632,61,-0.0194,-0.151,0.004,Rain Event 2018-07-15,Pituffik,North River,prcp_act,prcp,0
2018_163_PrecipitationEvent_4,16/07/2018,76.5383,-68.7632,61,-0.0174,-0.133,0.006,Rain Event 2018-07-16,Pituffik,North River,prcp_act,prcp,0
2018_248_PrecipitationEvent_4,30/07/2018,76.5383,-68.7632,61,-0.0186,-0.153,-0.004,Rain Event 2018-07-30,Pituffik,North River,prcp_act,prcp,0
2018_251_PrecipitationEvent_4,03/08/2018,76.5383,-68.7632,61,-0.0211,-0.172,-0.003,Rain Event 2018-08-03,Pituffik,North River,prcp_act,prcp,0
2018_214_PrecipitationEvent_4,10/08/2018,76.5383,-68.7632,61,-0.0194,-0.149,0.006,Rain Event 2018-08-10,Pituffik,North River,prcp_act,prcp,0
2018_215_PrecipitationEvent_4,11/08/2018,76.5383,-68.7632,61,-0.0208,-0.164,0.002,Rain Event 2018-08-11,Pituffik,North River,prcp_act,prcp,0
2018_216_PrecipitationEvent_12.08.18,12/08/2018,76.5383,-68.7632,61,-0.0241,-0.191,0.002,Rain Event 2018-08-12,Pituffik,North River,prcp_act,prcp,0
2019_016_Precipitation_EventRainMidday_18072019,18/07/2019,76.5383,-68.7632,61,-0.0265,-0.21,0.002,Rain Event Midday 2019-07-18,Pituffik,North River,prcp_act,prcp,0
2019_015_Precipitation_EventRainMorning_18072019,18/07/2019,76.5383,-68.7632,61,-0.0207,-0.169,-0.003,Rain Event Morning 2019-07-18,Pituffik,North River,prcp_act,prcp,0
2018_006_LakePotatoSnow_2,14/06/2018,76.5569,-68.5481,190,-0.0208,-0.155,0.011,Lake Potato Snow,Amitsuarsuk,Potato,snowpack,freshet,0
2018_042_PotatoFarmSnow_2,26/06/2018,76.5539,-68.5646,196,-0.0204,-0.154,0.009,Potato Farm Snow,Amitsuarsuk,Potato,snowpack,freshet,0
2018_041_SouthMountainPeakSnow_2,24/06/2018,76.5128,-68.6966,233,-0.0197,-0.142,0.016,South Mountain Snow,Main Base,Main Base,snowpack,freshet,0
2018_053_IceWallIceSheetSnow_2,27/06/2018,76.5328,-68.1214,451,-0.024,-0.184,0.008,Ice Wall Ice Sheet Snow,Pituffik,North River,snowpack,freshet,0
2018_048_IceWallMoraineEdgeSnow_2,27/06/2018,76.5386,-68.1406,363,-0.0249,-0.189,0.01,Ice Wall Moraine Edge Snow,Pituffik,North River,snowpack,freshet,0
2018_051_IceWallMoraineValleySnow_2,27/06/2018,76.5361,-68.1292,432,-0.0248,-0.191,0.007,Ice Wall Moraine Valley Snow,Pituffik,North River,snowpack,freshet,0
2018_004_NorthNorthMountainSnow_2,14/06/2018,76.5482,-68.5661,174,-0.0301,-0.227,0.014,North North Mountain Snow,Pituffik,North River,snowpack,freshet,0
2018_037_PytheasPlainSnow_2,23/06/2018,76.5661,-68.2384,368,-0.0206,-0.158,0.007,Pytheas Plain Snow,Pituffik,North River,snowpack,freshet,0
2018_063_RavenPointSnow_2,29/06/2018,76.5711,-68.5481,281,-0.0184,-0.133,0.014,Raven Point Snow,Raven,Raven,snowpack,freshet,0
2018_073_IceCaveHikeFogPlainPolarDesertSnow_2,30/06/2018,76.4958,-68.8592,244,-0.0203,-0.148,0.014,Ice Cave Hike Fog Plain Polar Desert Snow,Search Party,Search Party,snowpack,freshet,0
2018_072_IceCaveHikeMidpointSnow_2,30/06/2018,76.4994,-68.8819,201,-0.0231,-0.175,0.01,Ice Cave Hike Midpoint Snow,Search Party,Search Party,snowpack,freshet,0
2018_027_FertilizerPlotLowerDrainageSnow_2,22/06/2018,76.4861,-68.4375,237,-0.0247,-0.186,0.012,Blackmoss Wash Road Crossing Snow,Sioraq,South River,snowpack,freshet,0
2018_031_RampCampSnow_2,22/06/2018,76.4111,-68.2997,500,-0.0235,-0.18,0.008,Ice Ramp Camp Snow,Sioraq,South River,snowpack,freshet,0
2018_030_LakeTutoSnow_2,22/06/2018,76.43,-68.327,489,-0.0256,-0.194,0.011,Lake Tuto Snow,Sioraq,South River,snowpack,freshet,0
2018_028_MidwayTutoRoadSnow_2,22/06/2018,76.4503,-68.3972,331,-0.0188,-0.143,0.007,Midway Tuto Road Snow,Sioraq,South River,snowpack,freshet,0
2018_288_SMountainSnow_06.11.18,06/11/2018,76.5128,-68.6966,233,-0.0228,-0.167,0.015,South Mountain Snow,Main Base,Main Base,snowpack,premelt,0
2018_287_PierTopSnow_05.11.18,05/11/2018,76.5443,-68.8717,23,-0.0266,-0.192,0.021,Pier Top Snow,Other,Other,snowpack,premelt,0
2018_285_BlueIceViewSnow_05.11.18,05/11/2018,76.4188,-68.2893,505,-0.0196,-0.138,0.019,Blue Ice View Snow,Pituffik,North River,snowpack,premelt,0
2018_294_345Snow_08.11.18,08/11/2018,76.5383,-68.7632,15,-0.0221,-0.167,0.01,Building 345 Snow,Pituffik,North River,snowpack,premelt,0
2018_290_NMountainRidgeSnow_08.11.18,08/11/2018,76.5558,-68.7527,200,-0.025,-0.183,0.017,North Mountain Ridge Snow,Pituffik,North River,snowpack,premelt,0
2018_291_NMountainRidgeSnowCrust_08.11.18,08/11/2018,76.5558,-68.7527,200,-0.0223,-0.162,0.016,North Mountain Ridge Snow Crust,Pituffik,North River,snowpack,premelt,0
2018_289_NMountainPool_08.11.18,08/11/2018,76.5441,-68.6105,249,-0.0245,-0.177,0.019,North Mountain Road Pool Snow,Pituffik,North River,snowpack,premelt,0
2018_292_NorthRiverShelter2Snow_08.11.18,08/11/2018,76.5308,-68.5594,114,-0.0252,-0.184,0.018,North River Shelter 2 Snow,Pituffik,North River,snowpack,premelt,0
2018_293_NorthRiver5.8Snow_08.11.18,08/11/2018,76.5203,-68.3681,195,-0.0278,-0.205,0.017,North River Shelter 5.8 Snow,Pituffik,North River,snowpack,premelt,0
2018_295_PytheasPoolSnow_08.11.18,08/11/2018,76.5593,-68.2632,349,-0.02,-0.143,0.017,Pytheas Parking Pool Snow,Pituffik,North River,snowpack,premelt,0
2018_303_DLaunchSnow_16.11.18,16/11/2018,76.5112,-68.8967,153,-0.0281,-0.207,0.018,D Launch Snow,Sioraq,South River,snowpack,premelt,0
2018_286_IceRampCaveIce_05.11.18,05/11/2018,76.4111,-68.2997,500,-0.0214,-0.159,0.012,Ice Ramp Cave Ice,Sioraq,South River,snowpack,premelt,0
2018_283_IceRampSnow_05.11.18,05/11/2018,76.4111,-68.2997,500,-0.0259,-0.191,0.016,Ice Ramp Snow,Sioraq,South River,snowpack,premelt,0
2018_284_IceRampSnow2_05.11.18,05/11/2018,76.4111,-68.2997,500,-0.0236,-0.172,0.017,Ice Ramp Snow,Sioraq,South River,snowpack,premelt,0
