sample_id,stream_group,minor_stream_group,date,glacial_frac,glacial_frac_sd,snowpack_frac,snowpack_frac_sd,prcp_act_frac,prcp_act_frac_sd,lentic_frac,lentic_frac_sd
2018_090_SouthRiverMouth_1,Sioraq,Sioraq Mouth,02/07/2018,0.301,0.312,0.277,0.298,0.379,0.341,0.044,0.096
2018_124_FoxCanyonBridgeNorthFork_1,Sioraq,Sioraq Tuto,07/07/2018,0.375,0.335,0.564,0.319,0.045,0.107,0.015,0.042
2018_125_FoxCanyonBridgeSouthFork_1,Sioraq,Sioraq Pingorsuit,07/07/2018,0.115,0.157,0.834,0.172,0.038,0.09,0.013,0.035
2018_126_FoxCanyonBridgeJointFlow_07.07.18,Sioraq,Other Sioraq,07/07/2018,0.219,0.257,0.714,0.257,0.05,0.117,0.017,0.044
2018_137_SouthRiverMouth_1,Sioraq,Sioraq Mouth,08/07/2018,0.414,0.353,0.476,0.328,0.089,0.182,0.022,0.056
2018_143_SouthRiverMouth_1,Sioraq,Sioraq Mouth,11/07/2018,0.389,0.352,0.392,0.32,0.187,0.269,0.032,0.077
2018_144_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,11/07/2018,0.411,0.351,0.485,0.326,0.083,0.168,0.021,0.059
2018_145_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,11/07/2018,0.097,0.136,0.834,0.167,0.052,0.113,0.017,0.044
2018_166_BlackMossWash_1,Sioraq,Sioraq Blackmoss,16/07/2018,0.665,0.328,0.175,0.245,0.134,0.22,0.026,0.064
2018_196_OldMineRiver_1,Sioraq,Sioraq Blackmoss,03/08/2018,0.744,0.292,0.122,0.208,0.103,0.187,0.031,0.078
2018_199_SouthRiverMouth_1,Sioraq,Sioraq Mouth,07/08/2018,0.706,0.303,0.086,0.168,0.154,0.237,0.054,0.116
2018_220_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,15/08/2018,0.824,0.242,0.094,0.176,0.06,0.137,0.022,0.061
2018_221_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,15/08/2018,0.712,0.317,0.183,0.253,0.085,0.177,0.019,0.054
